s,prefL,alts,group
http://ec.europa.eu/esco/occupation/16575,Park foreman,,http://ec.europa.eu/esco/isco2008/Concept/C6113
http://ec.europa.eu/esco/occupation/18597,Patent consultant,,http://ec.europa.eu/esco/isco2008/Concept/C3339
http://ec.europa.eu/esco/occupation/20658,Peace researcher,,http://ec.europa.eu/esco/isco2008/Concept/C2633
http://ec.europa.eu/esco/occupation/15338,Philologist,Linguistic scientist,http://ec.europa.eu/esco/isco2008/Concept/C2643
http://ec.europa.eu/esco/occupation/20675,Philosopher (scientist),"Philosopher, scientist",http://ec.europa.eu/esco/isco2008/Concept/C2633
http://ec.europa.eu/esco/occupation/20725,Political expert,Politologist,http://ec.europa.eu/esco/isco2008/Concept/C2633
http://ec.europa.eu/esco/occupation/14948,Political scientist,,http://ec.europa.eu/esco/isco2008/Concept/C2633
http://ec.europa.eu/esco/occupation/21162,Porter (receptionists and information clerks),Porter,http://ec.europa.eu/esco/isco2008/Concept/C4226
http://ec.europa.eu/esco/occupation/19415,Preschool psychologist,,http://ec.europa.eu/esco/isco2008/Concept/C2634
http://ec.europa.eu/esco/occupation/19015,Priest (Greek Orthodox church),"Priest, Greek Orthodox church",http://ec.europa.eu/esco/isco2008/Concept/C2636
http://ec.europa.eu/esco/occupation/18999,Priest (Roman Catholic church),"Priest, Roman Catholic church",http://ec.europa.eu/esco/isco2008/Concept/C2636
http://ec.europa.eu/esco/occupation/16694,Priest (other denomination),"Priest, other denomination",http://ec.europa.eu/esco/isco2008/Concept/C2636
http://ec.europa.eu/esco/occupation/22726,Private travel agent,Private trips seller,http://ec.europa.eu/esco/isco2008/Concept/C4221
http://ec.europa.eu/esco/occupation/19498,Psychoanalyst,,http://ec.europa.eu/esco/isco2008/Concept/C2634
http://ec.europa.eu/esco/occupation/17759,Psychologist,,http://ec.europa.eu/esco/isco2008/Concept/C2634
http://ec.europa.eu/esco/occupation/15548,Psychotherapist,,http://ec.europa.eu/esco/isco2008/Concept/C2634
http://ec.europa.eu/esco/occupation/20099,Public baths caretaker,,http://ec.europa.eu/esco/isco2008/Concept/C5153
http://ec.europa.eu/esco/occupation/23685,Public baths cashier,,http://ec.europa.eu/esco/isco2008/Concept/C5230
http://ec.europa.eu/esco/occupation/19304,Purser,,http://ec.europa.eu/esco/isco2008/Concept/C5111
http://ec.europa.eu/esco/occupation/22245,Quality auditor,,http://ec.europa.eu/esco/isco2008/Concept/C3339
http://ec.europa.eu/esco/occupation/22311,Quality coordination adviser,,http://ec.europa.eu/esco/isco2008/Concept/C3339
http://ec.europa.eu/esco/occupation/19008,Rabbi,,http://ec.europa.eu/esco/isco2008/Concept/C2636
http://ec.europa.eu/esco/occupation/16838,Real estate administrator,,http://ec.europa.eu/esco/isco2008/Concept/C3334
http://ec.europa.eu/esco/occupation/16820,Real estate agent,,http://ec.europa.eu/esco/isco2008/Concept/C3334
http://ec.europa.eu/esco/occupation/20070,Real estate assistant,,http://ec.europa.eu/esco/isco2008/Concept/C3334
http://ec.europa.eu/esco/occupation/20058,Real estate book-keeper,Real estate controller,http://ec.europa.eu/esco/isco2008/Concept/C3334
http://ec.europa.eu/esco/occupation/20095,Real estate broker,,http://ec.europa.eu/esco/isco2008/Concept/C3334
http://ec.europa.eu/esco/occupation/22788,Real estate inspector,,http://ec.europa.eu/esco/isco2008/Concept/C3334
http://ec.europa.eu/esco/occupation/20051,Real estate manager,,http://ec.europa.eu/esco/isco2008/Concept/C3334
http://ec.europa.eu/esco/occupation/20074,Real estate secretary,,http://ec.europa.eu/esco/isco2008/Concept/C3334
http://ec.europa.eu/esco/occupation/14372,Receptionist (telephone operator),"Receptionist, telephone operator",http://ec.europa.eu/esco/isco2008/Concept/C4224
http://ec.europa.eu/esco/occupation/20217,Rent adviser,,http://ec.europa.eu/esco/isco2008/Concept/C3334
http://ec.europa.eu/esco/occupation/20043,Rent inspector,,http://ec.europa.eu/esco/isco2008/Concept/C3334
http://ec.europa.eu/esco/occupation/22782,Rent supervisor,,http://ec.europa.eu/esco/isco2008/Concept/C3334
http://ec.europa.eu/esco/occupation/15315,Researcher (linguistics),Language scientist,http://ec.europa.eu/esco/isco2008/Concept/C2643
http://ec.europa.eu/esco/occupation/14814,Restaurant assistant,,http://ec.europa.eu/esco/isco2008/Concept/C9412
http://ec.europa.eu/esco/occupation/18172,Restaurant cashier,,http://ec.europa.eu/esco/isco2008/Concept/C5230
http://ec.europa.eu/esco/occupation/22482,Restaurant housekeeper,Restaurant matron,http://ec.europa.eu/esco/isco2008/Concept/C5151
http://ec.europa.eu/esco/occupation/14710,Restaurant manager,,http://ec.europa.eu/esco/isco2008/Concept/C1412
http://ec.europa.eu/esco/occupation/23696,Restaurateur,,http://ec.europa.eu/esco/isco2008/Concept/C1412
http://ec.europa.eu/esco/occupation/23331,Sales director (travel agency),"Sales director, travel agency",http://ec.europa.eu/esco/isco2008/Concept/C4221
http://ec.europa.eu/esco/occupation/23790,Salvage diver,,http://ec.europa.eu/esco/isco2008/Concept/C7541
http://ec.europa.eu/esco/occupation/19819,Sandwich board holder,Sandwich-man,http://ec.europa.eu/esco/isco2008/Concept/C9622
http://ec.europa.eu/esco/occupation/20310,School lunch assistant,School lunch assistant.,http://ec.europa.eu/esco/isco2008/Concept/C9412
http://ec.europa.eu/esco/occupation/22696,School meals director,,http://ec.europa.eu/esco/isco2008/Concept/C5151
http://ec.europa.eu/esco/occupation/18617,School porter,,http://ec.europa.eu/esco/isco2008/Concept/C5153
http://ec.europa.eu/esco/occupation/19429,School psychologist,,http://ec.europa.eu/esco/isco2008/Concept/C2634
http://ec.europa.eu/esco/occupation/22705,Seamen's chaplain,,http://ec.europa.eu/esco/isco2008/Concept/C2636
